"count_","properties_complianceState","properties_policyDefinitionName"
1,"Unknown","10c3a1b1-29b0-a2d5-8f4c-a284b0f07830"
1,"Unknown","5bac5fb7-7735-357b-767d-02264bfe5c3b"
1,"NonCompliant","0c2b3618-68a8-4034-a150-ff4abc873462"
1,"Unknown","74041cfe-3f87-1d17-79ec-34ca5f895542"
1,"Unknown","b8587fce-138f-86e8-33a3-c60768bf1da6"
1,"NonCompliant","12c74c95-0efd-48da-b8d9-2a7d68470c92"
1,"Compliant","2a6ae02f-7590-40d7-88ba-b18e205a32fd"
1,"Compliant","cd8f7644-6fe8-4516-bded-0e465ead03ac"
1,"NonCompliant","1301a000-bc6b-4d90-8414-7091e3abdc40"
2,"Unknown","7c7032fe-9ce6-9092-5890-87a1a3755db1"
2,"NonCompliant","24b7a1c6-44fe-40cc-a2e6-242d2ef70e98"
2,"NonCompliant","123aed70-491a-4f07-a569-e1f3a8dd651e"
2,"NonCompliant","701a595d-38fb-4a66-ae6d-fb3735217622"
2,"Unknown","eda0cbb7-6043-05bf-645b-67411f1a59b3"
2,"Unknown","5715bf33-a5bd-1084-4e19-bc3c83ec1c35"
2,"Compliant","4ee5b817-627a-435a-8932-116193268172"
2,"Compliant","cae7c12e-764b-4c87-841a-fdc6675d196f"
2,"Compliant","a08ae1ab-8d1d-422b-a123-df82b307ba61"
2,"NonCompliant","4dcfb8b5-05cd-4090-a931-2ec29057e1fc"
2,"NonCompliant","d639b3af-a535-4bef-8dcf-15078cddf5e2"
2,"Unknown","e1379836-3492-6395-451d-2f5062e14136"
2,"Unknown","55be3260-a7a2-3c06-7fe6-072d07525ab7"
2,"Unknown","b53aa659-513e-032c-52e6-1ce0ba46582f"
2,"Unknown","2d2ca910-7957-23ee-2945-33f401606efc"
2,"Unknown","ae5345d5-8dab-086a-7290-db43a3272198"
2,"Unknown","a8df9c78-4044-98be-2c05-31a315ac8957"
2,"Unknown","75b42dcf-7840-1271-260b-852273d7906e"
2,"Unknown","b28c8687-4bbd-8614-0b96-cdffa1ac6d9c"
2,"Unknown","d42a8f69-a193-6cbc-48b9-04a9e29961f1"
2,"Unknown","2d4d0e90-32d9-4deb-2166-a00d51ed57c0"
2,"NonCompliant","cbd11fd3-3002-4907-b6c8-579f0e700e13"
2,"NonCompliant","c6283572-73bb-4deb-bf2c-7a2b8f7462cb"
2,"Unknown","ee4bbbbb-2e52-9adb-4e3a-e641f7ac68ab"
2,"Unknown","5d3abfea-a130-1208-29c0-e57de80aa6b0"
2,"Unknown","84245967-7882-54f6-2d34-85059f725b47"
2,"Unknown","a8f9c283-9a66-3eb3-9e10-bdba95b85884"
2,"Unknown","01c387ea-383d-4ca9-295a-977fab516b03"
2,"Unknown","5fc24b95-53f7-0ed1-2330-701b539b97fe"
2,"Unknown","83dfb2b8-678b-20a0-4c44-5c75ada023e6"
2,"Unknown","2c6bee3a-2180-2430-440d-db3c7a849870"
2,"Unknown","a1334a65-2622-28ee-5067-9d7f5b915cc5"
2,"Unknown","b470a37a-7a47-3792-34dd-7a793140702e"
2,"Unknown","dad8a2e9-6f27-4fc2-8933-7e99fe700c9c"
2,"Unknown","037c0089-6606-2dab-49ad-437005b5035f"
2,"Unknown","08c11b48-8745-034d-1c1b-a144feec73b9"
2,"Unknown","0fd1ca29-677b-2f12-1879-639716459160"
2,"Unknown","2401b496-7f23-79b2-9f80-89bb5abf3d4a"
2,"Unknown","69d90ee6-9f9f-262a-2038-d909fb4e5723"
2,"Unknown","4502e506-5f35-0df4-684f-b326e3cc7093"
2,"Unknown","9622aaa9-5c49-40e2-5bf8-660b7cd23deb"
2,"Unknown","22457e81-3ec6-5271-a786-c3ca284601dd"
2,"NonCompliant","0e80e269-43a4-4ae9-b5bc-178126b8a5cb"
2,"Unknown","279052a0-8238-694d-9661-bf649f951747"
2,"Unknown","bb048641-6017-7272-7772-a008f285a520"
2,"Unknown","b4409bff-2287-8407-05fd-c73175a68302"
2,"Unknown","eaaae23f-92c9-4460-51cf-913feaea4d52"
2,"Unknown","1fb1cb0e-1936-6f32-42fd-89970b535855"
2,"Unknown","043c1e56-5a16-52f8-6af8-583098ff3e60"
2,"Unknown","0123edae-3567-a05a-9b05-b53ebe9d3e7e"
2,"Unknown","5c33538e-02f8-0a7f-998b-a4c1e22076d3"
2,"Unknown","58a51cde-008b-1a5d-61b5-d95849770677"
2,"Unknown","585af6e9-90c0-4575-67a7-2f9548972e32"
2,"Unknown","e29a8f1b-149b-2fa3-969d-ebee1baa9472"
2,"Unknown","77cc89bb-774f-48d7-8a84-fb8c322c3000"
2,"Unknown","cb8841d4-9d13-7292-1d06-ba4d68384681"
2,"Unknown","8c5d3d8d-5cba-0def-257c-5ab9ea9644dc"
2,"Compliant","0088bc63-6dee-4a9c-9d29-91cfdc848952"
2,"Unknown","4ce91e4e-6dab-3c46-011a-aa14ae1561bf"
2,"NonCompliant","1cf164be-6819-4a50-b8fa-4bcaa4f98fb6"
2,"Unknown","7a489c62-242c-5db9-74df-c073056d6fa3"
2,"Unknown","b320aa42-33b4-53af-87ce-100091d48918"
2,"Unknown","b4e19d22-8c0e-7cad-3219-c84c62dc250f"
2,"Unknown","bd4dc286-2f30-5b95-777c-681f3a7913d3"
2,"Unknown","1fdf0b24-4043-3c55-357e-036985d50b52"
2,"Unknown","41172402-8d73-64c7-0921-909083c086b0"
2,"Unknown","477bd136-7dd9-55f8-48ac-bae096b86a07"
2,"Unknown","4ac81669-00e2-9790-8648-71bc11bc91eb"
2,"Unknown","6122970b-8d4a-7811-0278-4c6c68f61e4f"
2,"NonCompliant","67121cc7-ff39-4ab8-b7e3-95b84dab487d"
2,"Unknown","91cf132e-0c9f-37a8-a523-dc6a92cd2fb2"
2,"Compliant","46aa9b05-0e60-4eae-a88b-1e9d374fa515"
2,"Unknown","05ec66a2-137c-14b8-8e75-3d7a2bef07f8"
2,"NonCompliant","46aa9b05-0e60-4eae-a88b-1e9d374fa515"
2,"Unknown","51e4b233-8ee3-8bdc-8f5f-f33bd0d229b7"
2,"Unknown","af5ff768-a34b-720e-1224-e6b3214f3ba6"
2,"Unknown","3baee3fd-30f5-882c-018c-cc78703a0106"
2,"Unknown","9b55929b-0101-47c0-a16e-d6ac5c7d21f8"
2,"Unknown","aa0ddd99-43eb-302d-3f8f-42b499182960"
2,"Unknown","f2222056-062d-1060-6dc2-0107a68c34b2"
2,"Unknown","aa892c0d-2c40-200c-0dd8-eac8c4748ede"
2,"Unknown","d48a6f19-a284-6fc6-0623-3367a74d3f50"
2,"Unknown","25a1f840-65d0-900a-43e4-bee253de04de"
2,"Unknown","28aa060e-25c7-6121-05d8-a846f11433df"
2,"Unknown","04837a26-2601-1982-3da7-bf463e6408f4"
2,"Unknown","6b957f60-54cd-5752-44d5-ff5a64366c93"
2,"Unknown","39eb03c1-97cc-11ab-0960-6209ed2869f7"
2,"Unknown","096a7055-30cb-2db4-3fda-41b20ac72667"
2,"Unknown","afbecd30-37ee-a27b-8e09-6ac49951a0ee"
2,"Unknown","df2e9507-169b-4114-3a52-877561ee3198"
2,"Unknown","42116f15-5665-a52a-87bb-b40e64c74b6c"
2,"Compliant","fd9903f1-38c2-4d36-8e44-5c1c20c561e8"
2,"Compliant","05f95bb8-8ef8-4cef-8cad-5d30f9912850"
2,"Unknown","509552f5-6528-3540-7959-fbeae4832533"
2,"Unknown","d02498e0-8a6f-6b02-8332-19adf6711d1e"
2,"Unknown","836f8406-3b8a-11bb-12cb-6c7fa0765668"
2,"Unknown","a4493012-908c-5f48-a468-1e243be884ce"
2,"Unknown","efef28d0-3226-966a-a1e8-70e89c1b30bc"
2,"Unknown","1ecb79d7-1a06-9a3b-3be8-f434d04d1ec1"
2,"Unknown","4f23967c-a74b-9a09-9dc2-f566f61a87b9"
2,"Unknown","0e696f5a-451f-5c15-5532-044136538491"
2,"Unknown","2c843d78-8f64-92b5-6a9b-e8186c0e7eb6"
2,"Unknown","be38a620-000b-21cf-3cb3-ea151b704c3b"
2,"Unknown","21633c09-804e-7fcd-78e3-635c6bfe2be7"
2,"Unknown","27ce30dd-3d56-8b54-6144-e26d9a37a541"
2,"Unknown","44f8a42d-739f-8030-89a8-4c2d5b3f6af3"
2,"Unknown","70fe686f-1f91-7dab-11bf-bca4201e183b"
2,"Unknown","271a3e58-1b38-933d-74c9-a580006b80aa"
2,"Unknown","f48b60c6-4b37-332f-7288-b6ea50d300eb"
2,"Unknown","de936662-13dc-204c-75ec-1af80f994088"
2,"Unknown","8cd815bf-97e1-5144-0735-11f6ddb50a59"
2,"Unknown","f27a298f-9443-014a-0d40-fef12adf0259"
2,"Unknown","9fdde4a9-85fa-7850-6df4-ae9c4a2e56f9"
2,"Unknown","f741c4e6-41eb-15a4-25a2-61ac7ca232f0"
2,"Unknown","d18af1ac-0086-4762-6dc8-87cdded90e39"
2,"Unknown","5fe84a4c-1b0c-a738-2aba-ed49c9069d3b"
2,"Unknown","f78fc35e-1268-0bca-a798-afcba9d2330a"
2,"Unknown","6c0a312f-04c5-5c97-36a5-e56763a02b6b"
2,"Unknown","055da733-55c6-9e10-8194-c40731057ec4"
2,"Unknown","6610f662-37e9-2f71-65be-502bdc2f554d"
2,"NonCompliant","bd560fc0-3c69-498a-ae9f-aa8eb7de0e13"
2,"Unknown","7ad83b58-2042-085d-08f0-13e946f26f89"
2,"Unknown","bd6cbcba-4a2d-507c-53e3-296b5c238a8e"
2,"Unknown","ced291b8-1d3d-7e27-40cf-829e9dd523c8"
2,"Unknown","b65c5d8e-9043-9612-2c17-65f231d763bb"
2,"Unknown","e7422f08-65b4-50e4-3779-d793156e0079"
2,"Unknown","2b05dca2-25ec-9335-495c-29155f785082"
2,"Unknown","9b8b05ec-3d21-215e-5d98-0f7cf0998202"
2,"Unknown","516be556-1353-080d-2c2f-f46f000d5785"
2,"Unknown","d136ae80-54dd-321c-98b4-17acf4af2169"
2,"Unknown","1cb7bf71-841c-4741-438a-67c65fdd7194"
2,"Unknown","5226dee6-3420-711b-4709-8e675ebd828f"
2,"Unknown","524e7136-9f6a-75ba-9089-501018151346"
2,"Unknown","e5c5fc78-4aa5-3d6b-81bc-5fcc88b318e9"
2,"Unknown","af38215f-70c4-0cd6-40c2-c52d86690a45"
2,"Unknown","b7897ddc-9716-2460-96f7-7757ad038cc4"
2,"Unknown","c42f19c9-5d88-92da-0742-371a0ea03126"
2,"Unknown","8e49107c-3338-40d1-02aa-d524178a2afe"
2,"Unknown","e0c480bf-0d68-a42d-4cbb-b60f851f8716"
2,"Unknown","c6aeb800-0b19-944d-92dc-59b893722329"
2,"Unknown","a315c657-4a00-8eba-15ac-44692ad24423"
2,"Unknown","80a97208-264e-79da-0cc7-4fca179a0c9c"
2,"Unknown","dc7ec756-221c-33c8-0afe-c48e10e42321"
2,"Unknown","5f2e834d-7e40-a4d5-a216-e49b16955ccf"
2,"Unknown","3c93dba1-84fd-57de-33c7-ef0400a08134"
2,"Unknown","70a7a065-a060-85f8-7863-eb7850ed2af9"
2,"Unknown","496b407d-9b9e-81e8-4ba4-44bc686b016a"
2,"Unknown","c79d378a-2521-822a-0407-57454f8d2c74"
2,"Unknown","426c172c-9914-10d1-25dd-669641fc1af4"
2,"Unknown","e89436d8-6a93-3b62-4444-1d2a42ad56b2"
2,"Unknown","aa305b4d-8c84-1754-0c74-dec004e66be0"
2,"Unknown","bab9ef1d-a16d-421a-822d-3fa94e808156"
2,"Unknown","b11697e8-9515-16f1-7a35-477d5c8a1344"
2,"Unknown","fe2dff43-0a8c-95df-0432-cb1c794b17d0"
2,"Unknown","518eafdd-08e5-37a9-795b-15a8d798056d"
2,"Unknown","cd36eeec-67e7-205a-4b64-dbfe3b4e3e4e"
2,"Unknown","c423e64d-995c-9f67-0403-b540f65ba42a"
2,"Unknown","b8a9bb2f-7290-3259-85ce-dca7d521302d"
2,"Unknown","979ed3b6-83f9-26bc-4b86-5b05464700bf"
2,"Unknown","c981fa70-2e58-8141-1457-e7f62ebc2ade"
2,"Unknown","3af53f59-979f-24a8-540f-d7cdbc366607"
2,"Unknown","1c258345-5cd4-30c8-9ef3-5ee4dd5231d6"
2,"Unknown","e21f91d1-2803-0282-5f2d-26ebc4b170ef"
2,"Unknown","e7589f4e-1e8b-72c2-3692-1e14d7f3699f"
2,"Unknown","92ede480-154e-0e22-4dca-8b46a74a3a51"
2,"Unknown","3881168c-5d38-6f04-61cc-b5d87b2c4c58"
2,"NonCompliant","889bfebf-7428-426e-a86f-79e2a7de2f71"
2,"Unknown","a90c4d44-7fac-8e02-6d5b-0d92046b20e6"
2,"Unknown","dd2523d5-2db3-642b-a1cf-83ac973b32c2"
2,"Unknown","63f63e71-6c3f-9add-4c43-64de23e554a7"
2,"Unknown","4a6f5cbd-6c6b-006f-2bb1-091af1441bce"
2,"Unknown","fad161f5-5261-401a-22dd-e037bae011bd"
